series_id,series_title,frequency,year,period,period_name,date_index,value,previous_value,value_diff,pct_change,month,quarter,latest,footnotes,nlp_text,publication_datetime
CES0000000001,Total Nonfarm Employment,Monthly,2024,M12,December,2024-M12,158316.0,4.1,158311.9,3861265.853658537,12,,False,,Total Nonfarm Employment for December 2024 was 158316.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2025,M01,January,2025-M01,4.0,158316.0,-158312.0,-99.99747340761515,1,,False,,Unemployment Rate for January 2025 was 4.0.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2025,M01,January,2025-M01,158268.0,4.0,158264.0,3956600.0,1,,False,,Total Nonfarm Employment for January 2025 was 158268.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2025,M02,February,2025-M02,4.2,158268.0,-158263.8,-99.99734627340965,2,,False,,Unemployment Rate for February 2025 was 4.2.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2025,M02,February,2025-M02,158310.0,4.2,158305.8,3769185.7142857136,2,,False,,Total Nonfarm Employment for February 2025 was 158310.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2025,M03,March,2025-M03,4.2,158310.0,-158305.8,-99.9973469774493,3,,False,,Unemployment Rate for March 2025 was 4.2.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2025,M03,March,2025-M03,158377.0,4.2,158372.8,3770780.952380952,3,,False,,Total Nonfarm Employment for March 2025 was 158377.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2025,M04,April,2025-M04,4.2,158377.0,-158372.8,-99.9973480997872,4,,False,,Unemployment Rate for April 2025 was 4.2.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2025,M04,April,2025-M04,158485.0,4.2,158480.8,3773352.38095238,4,,False,,Total Nonfarm Employment for April 2025 was 158485.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2025,M05,May,2025-M05,4.3,158485.0,-158480.7,-99.99728680947725,5,,False,,Unemployment Rate for May 2025 was 4.3.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2025,M05,May,2025-M05,158498.0,4.3,158493.7,3685900.000000001,5,,False,,Total Nonfarm Employment for May 2025 was 158498.,2026-07-26T19:16:15Z
LNS14000000,Unemployment Rate,Monthly,2025,M06,June,2025-M06,4.1,158498.0,-158493.9,-99.99741321657055,6,,False,,Unemployment Rate for June 2025 was 4.1.,2026-07-26T19:16:15Z
CES0000000001,Total Nonfarm Employment,Monthly,2025,M06,June,2025-M06,158478.0,4.1,158473.9,3865217.073170732,6,,False,,Total Nonfarm Employment for June 2025 was 158478.,2026-07-26T19:16:15Z
